id,climate,energy,environment,resources,sustainability,dedicated
sciences-et-technologies-pour-l-ingenieur_0,0,0,0,0,0,0
maitrise-des-risques-industriels_1,0,1,1,1,1,0
securite-et-technologies-informatique_1,0,0,0,0,1,0
maitrise-des-risques-industriels_0,0,0,0,0,0,0
securite-et-technologies-informatique_0,0,0,0,0,0,0
sciences-et-technologies-pour-l-ingenieur_1,1,1,1,0,1,0
securite-et-technologies-informatiques-apprentissage_2,0,0,0,0,0,0
genie-des-systemes-industriels_0,0,0,0,0,1,0
genie-des-systemes-industriels_1,0,0,0,0,1,0
énergie-risques-et-environnement_1,0,1,0,0,1,0
securite-et-technologies-informatiques-apprentissage_0,0,0,0,0,0,0
énergie-risques-et-environnement_3,0,1,0,0,0,0
ecole-de-la-nature-et-du-paysage_1,0,0,1,0,0,0
ecole-de-la-nature-et-du-paysage_0,0,0,1,0,1,0
énergie-risques-et-environnement_0,0,1,1,0,1,0
ecole-de-la-nature-et-du-paysage_2,1,0,1,1,1,0
énergie-risques-et-environnement_2,0,1,1,0,1,0
securite-et-technologies-informatiques-apprentissage_1,0,1,0,0,0,0
master_4,0,0,0,0,0,0
master_2,0,0,0,0,0,0
ecole-de-la-nature-et-du-paysage_3,0,0,1,0,0,0
master_1,0,1,1,0,0,0
master_3,0,0,0,0,0,0
master_0,1,1,1,1,1,0
