id,climate,energy,environment,resources,sustainability,dedicated
ELE09-PPS,0,0,0,0,0,0
GCU05-PROBA,0,0,0,0,0,0
HUMF1-MUS,0,0,0,0,0,0
GCU10-PFE,0,0,0,0,0,0
ESM05-ANAL,0,0,0,0,0,0
GMA05-MAT FISA,0,0,0,0,0,0
GMA07-MNEF,0,0,0,0,0,0
GMA06-EDP,0,0,0,0,0,0
GMA06-MSMD,0,0,0,0,0,0
GMA09-ANNUM,0,0,0,0,0,0
GMA09-PI,0,0,0,0,0,0
GMA09-VATR,0,0,0,0,0,0
GMA09-INGAS,0,0,0,0,0,0
GMA09-CORO,0,0,0,0,0,0
EII05-LANGC,0,0,0,0,0,0
EII05-ARC,0,0,0,0,0,0
ESM05-LOG,0,0,0,0,0,0
EII05-ELE,0,0,0,0,0,0
GMA10-PFE,0,0,0,0,0,0
GMA09-COMOP,0,0,0,0,0,0
LV3 - Russe 1,0,0,0,0,0,0
LV3 - Portugais 1,0,0,0,0,0,0
LV3 - Japonais 1,0,0,0,0,0,0
LV3 - Italien 1,0,0,0,0,0,0
LV3 - Espagnol 1,0,0,0,0,0,0
LV3 - Chinois 1,0,0,0,0,0,0
LV3 - Arabe 1,0,0,0,0,0,0
LV3 - Allemand 1,0,0,0,0,0,0
LV3 - Soutien Anglais 2,0,0,0,0,0,0
LV3 - Russe 2,0,0,0,0,0,0
LV3 - Portugais 2,0,0,0,0,0,0
LV3 - Japonais 2,0,0,0,0,0,0
LV3 - Italien 2,0,0,0,0,0,0
LV3 - Espagnol 2,0,0,0,0,0,0
LV3 - Chinois 2,0,0,0,0,0,0
LV3 - Arabe 2,0,0,0,0,0,0
STP04-ELMG,0,0,0,0,0,0
STP04-MECA,0,0,0,0,0,0
STP04-INFO,0,0,0,0,0,0
STP04-GEOM,0,0,0,0,0,0
STP04-PROBA,0,0,0,0,0,0
STP03-POR-LV3,0,0,0,0,0,0
STP03-RUS-LV3,0,0,0,0,0,0
STP03-JAP-LV3,0,0,0,0,0,0
INF06-RES,0,0,0,0,0,0
INF05-RM,0,0,0,0,0,0
INF05-RJ1,0,0,0,0,0,0
INF05-RBD,0,0,0,0,0,0
HUM05-PSH-ANGL - Projet Sciences Humaines,0,0,0,0,0,0
DMA06-SE,0,0,0,0,0,0
DMA06-MNNL,0,0,0,0,0,0
DMA06-BD,0,0,0,0,0,0
DET08-STAGE,0,0,0,0,0,0
DMA07-SE,0,0,0,0,0,0
DMA07-POO,0,0,0,0,0,0
HUM07-EPS ISP - Education Physique et Sportive S7,0,0,0,0,0,0
HUM07-RUS-ISP,0,0,0,0,0,0
HUM07-ESP-ISP,0,0,0,0,0,0
HUM07-ALL-ISP,0,0,0,0,0,0
HUM07-ANGL-ISP,0,0,0,0,0,0
INF08-COMPIL,0,0,0,0,0,0
INF08-GRL,0,0,0,0,0,0
INF08-PROJ2,0,0,0,0,0,0
INF07-STA3 3CR,0,0,0,0,0,0
DMA09-CO,0,0,0,0,0,0
DMA09-SE,0,0,0,0,0,0
DMA09-SEER,0,0,0,0,0,0
DMA09-FMDV,0,0,0,0,0,0
DMA09-PR,0,0,0,0,0,0
DMA09-SEER-PR,0,0,0,0,0,0
INF09-AD,0,0,0,0,0,0
INF09-DATA,0,0,0,0,0,0
INF09-ALGODATA,0,0,0,0,0,0
INF09-PROTOCOL,0,0,0,0,0,0
INF09-SECU,0,0,0,0,0,0
INF09-AMRG,0,0,0,0,0,0
INF10-PFE,0,0,0,0,0,0
INF09-BIBL,0,0,0,0,0,0
INF09-SIF,0,0,0,0,0,0
DMA10-PFE,0,0,0,0,0,0
INF09-RV,0,0,0,0,0,0
INF09-CCU,0,0,0,0,0,0
INF09-SFFS,0,0,0,0,0,0
INF09-CP,0,0,0,0,0,0
INF09-DSL,0,0,0,0,0,0
INF09-BDASW,0,0,0,0,0,0
INF09-DevOps,0,0,0,0,0,0
DMA09-FMDV-PR,0,0,0,0,0,0
DMA09-AIS-PR,0,0,0,0,0,0
DMA09-OI-PR,0,0,0,0,0,0
DMA09-PARCI-PR,0,0,0,0,0,0
DET10-PFE,0,0,0,0,0,0
INF08-STAGE,0,0,0,0,0,0
INF08-CLOUDS,0,0,0,0,0,0
INF08-PRGSECU,0,0,0,0,0,0
INF08-TALIL,0,0,0,0,0,0
INF08-RIV,0,0,0,0,0,0
INF08-CONF,0,0,0,0,0,0
INF08-CONTR,0,0,0,0,0,0
DMA09-AIS,0,0,0,0,0,0
DMA09-OI,0,0,0,0,0,0
DMA09-PARCI,0,0,0,0,0,0
DMA08-PR2,0,0,0,0,0,0
HUM10-ANG-PRO-DET,0,0,0,0,0,0
DET10-TCpro,0,0,0,0,0,0
DET09-TCpro,0,0,0,0,0,0
INF07-CPP - Conception CPP,0,0,0,0,0,0
DMA08-STAGE08,0,0,0,0,0,0
DMA08-SE,0,0,0,0,0,0
DMA08-OGD,0,0,0,0,0,0
DMA08-AS,0,0,0,0,0,0
DMA08-PE,0,0,0,0,0,0
DMA08-PMAA,0,0,0,0,0,0
DMA08-MERN,0,0,0,0,0,0
DMA08-CHP,0,0,0,0,0,0
HUM08-RUS-ISP,0,0,0,0,0,0
HUM08-ESP-ISP,0,0,0,0,0,0
HUM08-ALL-ISP,0,0,0,0,0,0
HUM08-ANGL-ISP,0,0,0,0,0,0
DET09-TCCROSS,0,0,0,0,0,0
DET09-IRHPROJ,0,0,0,0,0,0
DET09-IRHPL,0,0,0,0,0,0
DET09-IRHINT,0,0,0,0,0,0
DET09-RECH,0,0,0,0,0,0
DET09-BE,0,0,0,0,0,0
DET09-TCCEM,0,0,0,0,0,0
DET09-TCANT,0,0,0,0,0,0
DET09-TCRECA,0,0,0,0,0,0
DET09-TCFIBRES,0,0,0,0,0,0
DET09-TCETA,0,0,0,0,0,0
DET09-TCMIMO,0,0,0,0,0,0
DET09-TCCOMP,0,0,0,0,0,0
INF07-CONF,0,0,0,0,0,0
INF07-PROJ1,0,0,0,0,0,0
INF07-GEST,0,0,0,0,0,0
INF07-PERF,0,0,0,0,0,0
INF07-PP,0,0,0,0,0,0
INF07-CRYPTO,0,0,0,0,0,0
INF07-SECU,0,0,0,0,0,0
INF07-IG,0,0,0,0,0,0
INF07-TIV,0,0,0,0,0,0
INF07-MSTOC,0,0,0,0,0,0
INF07-SYST,0,0,0,0,0,0
INF07-PROJ-CPOO,0,0,0,0,0,0
INF07-CPOO2,0,0,0,0,0,0
DMA08-BE,0,0,0,0,0,0
DMA07-PR1,0,0,0,0,0,0
DEIF1-MOB15,0,0,0,0,0,0
DMA07-SE-ISP,0,0,0,0,0,0
DET08-MNUM,0,0,0,0,0,0
DET08-CNUM2,0,0,0,0,0,0
DET08-RES,0,0,0,0,0,0
DET08-RECH,0,0,0,0,0,0
DET08-PROJ,0,0,0,0,0,0
DET08-TSRS,0,0,0,0,0,0
DET08-SYRAD,0,0,0,0,0,0
DET08-RADIO-2,0,0,0,0,0,0
DET08-WA,0,0,0,0,0,0
