id,climate,energy,environment,resources,sustainability,dedicated
STPI11-M2,0,0,0,0,0,0
STPI11-I1,0,0,0,0,0,0
STPI11-CCN,0,0,0,0,0,0
STPI11-M1,0,0,0,0,0,0
STPI11-math-sout,0,0,0,0,0,0
STPI11-P2-1,0,0,0,0,0,0
STPI11-P3,0,0,0,0,0,0
STPI11-C1,0,0,0,0,0,0
STPI11-Remed-P3,0,0,0,0,0,0
STPI11-phys-sout,0,0,0,0,0,0
STPI11-P2SIB,0,0,0,0,0,0
STPI11-C1- soutien ,0,0,0,0,0,0
STPI11-CTI,0,0,0,0,0,0
H-11-ALL-DEB-STPI,0,0,0,0,0,0
H-11-COM-STPI,0,0,0,0,0,0
H-11-ANG-STPI,0,0,0,0,0,0
H-11-ALL-STPI,0,0,0,0,0,0
H-11-ESP-STPI,0,0,0,0,0,0
H-11-APS-STPI,0,0,0,0,0,0
H-11-ESP-DEB-STPI,0,0,0,0,0,0
H-11-FLE-STPI,0,0,0,0,0,0
H-11-ANG-STPI-SIB,0,0,0,0,0,0
H-121-SME-CHOR-ECAO,0,0,0,0,0,0
H-121-SME-INSTR-ECAO,0,0,0,0,0,0
H-121-SDE-ECAO,0,0,0,0,0,0
H-121-STE-JOUER-ECAO,0,0,0,0,0,0
H-121-STE-SPECT-ECAO,0,0,0,0,0,0
H-121-SME-ORCH-ECAO,0,0,0,0,0,0
H-121-SME-MUSI-ECAO,0,0,0,0,0,0
H-121-VEE-ECAO,0,0,0,0,0,0
STPI12-M4,0,0,0,0,0,0
STPI12-math-sout,0,0,0,0,0,0
STPI12-M5,0,0,0,0,0,0
STPI12-I2,0,0,0,0,0,0
STPI12-I2- soutien ,0,0,0,0,0,0
STPI12-P1-1,0,0,0,0,0,0
STPI12-P2-2,0,0,0,0,0,0
STPI12-P2SIB,0,0,0,0,0,0
STPI12-C2,0,0,0,0,0,0
STPI12-P4-1,0,0,0,0,0,0
STPI12-C2- soutien ,0,0,0,0,0,0
STPI12-phys-sout,0,0,0,0,0,0
STPI12-APP,0,0,0,0,0,0
STPI12-CTI,0,0,0,0,0,0
STPI12-CTP1,0,0,0,0,0,0
H-122-VEE-ECAO,0,0,0,0,0,0
H-12-ALL-STPI,0,0,0,0,0,0
H-12-ALL-DEB-STPI,0,0,0,0,0,0
H-12-ANG-STPI,0,0,0,0,0,0
H-12-ANG-STPI-SIB,0,0,0,0,0,0
H-12-APS-STPI,0,0,0,0,0,0
H-12-ESP-DEB-STPI,0,0,0,0,0,0
H-12-FLE-STPI,0,0,0,0,0,0
H-122-SAPE-ECAO,0,0,0,0,0,0
H-122-SDE-ECAO,0,0,0,0,0,0
H-122-SIE-VIDEO-STPI,0,0,0,0,0,0
H-122-SME-CHOR-ECAO,0,0,0,0,0,0
H-122-SME-INSTR-ECAO,0,0,0,0,0,0
H-122-STE-INIT-ECAO,0,0,0,0,0,0
H-122-STE-JOUER-ECAO,0,0,0,0,0,0
H-122-STE-SPECT-ECAO,0,0,0,0,0,0
H-12-ESP-STPI,0,0,0,0,0,0
H-122-SME-MUSI-ECAO,0,0,0,0,0,0
H-122-SME-ORCH-ECAO,0,0,0,0,0,0
H-122-SIE-CGC-ECAO,0,0,0,0,0,0
STPI21-M3,0,0,0,0,0,0
STPI21-M6,0,0,0,0,0,0
STPI21-Prj Info,0,0,0,0,0,0
STPI21-Prj Math,0,0,0,0,0,0
STPI21-P4-2,0,0,0,0,0,0
STPI21-P5,0,0,0,0,0,0
STPI21-T1,0,0,0,0,0,0
STPI21-C3,0,0,0,0,0,0
STPI21-P1-2,0,0,0,0,0,0
STPI11-C1- soutien ,0,0,0,0,0,0
STPI21-ADM,0,0,0,0,0,0
STPI21-Stage-Exe,0,0,0,0,0,0
STPI21-Stage-Exe-2A,0,0,0,0,0,0
H-21-ANG-STPI,0,0,0,0,0,0
H-21-ANG-STPI-SIB,0,0,0,0,0,0
H-21-APS-STPI,0,0,0,0,0,0
H-21-ESP-STPI,0,0,0,0,0,0
H-21-ALL-STPI,0,0,0,0,0,0
H-21-FLE-STPI,0,0,0,0,0,0
H2-SPORT-ETUD-STPI,0,0,0,0,0,0
H-21-ESP-Deb-STPI,0,0,0,0,0,0
H-21-ALL-DEB-STPI,0,0,0,0,0,0
H-121-SME-ORCH-ECAO,0,0,0,0,0,0
H-121-SME-CHOR-ECAO,0,0,0,0,0,0
H-122-SIE-VIDEO-STPI,0,0,0,0,0,0
H-121-SDE-ECAO,0,0,0,0,0,0
H-21-SIE-PHOTO-STPI,0,0,0,0,0,0
H-21-SIE-VIDEO-STPI,0,0,0,0,0,0
H-121-STE-JOUER-ECAO,0,0,0,0,0,0
H-121-STE-SPECT-ECAO,0,0,0,0,0,0
H-121-VEE-ECAO,0,0,0,0,0,0
H-121-SME-MUSI-ECAO,0,0,0,0,0,0
STPI22-CS1,0,0,0,0,0,0
STPI22-CTI 2,0,0,0,0,0,0
STPI22-CS2,0,0,0,0,0,0
STPI22-GC,0,0,0,0,0,0
STPI22-I3,0,0,0,0,0,0
STPI22-M7,0,0,0,0,0,0
STPI22-M8,0,0,0,0,0,0
STPI22-M9,0,0,0,0,0,0
STPI22-P8,0,0,0,0,0,0
STPI22-P9,0,0,0,0,0,0
STPI22-I4,0,0,0,0,0,0
STPI22-MAO,0,0,0,0,0,0
STPI22-P10,0,0,0,0,0,0
STPI22-CO,0,0,0,0,0,0
STPI22-CTI 3,0,0,0,0,0,0
STPI22-M10,0,0,0,0,0,0
STPI22-TIPNE,0,0,0,0,0,0
STPI22-P6,0,0,0,0,0,0
STPI22-I3,0,0,0,0,0,0
STPI22-M8,0,0,0,0,0,0
STPI22-CS1,0,0,0,0,0,0
STPI22-CS2,0,0,0,0,0,0
STPI22-P9,0,0,0,0,0,0
STPI22-M7,0,0,0,0,0,0
STPI22-M9,0,0,0,0,0,0
STPI22-P8,0,0,0,0,0,0
STPI22-CTI 2,0,0,0,0,0,0
STPI22-TIPNE-tut,0,0,0,0,0,0
STPI22-M10,0,0,0,0,0,0
STPI22-Bridge,0,0,0,0,0,0
H2-SPORT-ETUD-STPI,0,0,0,0,0,0
H-22-ALL-STPI,0,0,0,0,0,0
H-22-ANG-STPI,0,0,0,0,0,0
H-22-ESP-STPI,0,0,0,0,0,0
H-22-FLE-STPI,0,0,0,0,0,0
H-22-APS-STPI,0,0,0,0,0,0
H-22-COM-STPI,0,0,0,0,0,0
H-22-ANG-CULT-STPI,0,0,0,0,0,0
H-22-ESP-Deb-STPI,0,0,0,0,0,0
H-22-ALL-DEB-STPI,0,0,0,0,0,0
H-22-ALL-ENERG-STPI,0,0,0,0,0,0
H-122-ESP-STPI-LV3,0,0,0,0,0,0
H-122-ITA-STPI-LV3,0,0,0,0,0,0
H-122-PORT-STPI-LV3,0,0,0,0,0,0
H-122-SAPE-ECAO,0,0,0,0,0,0
H-122-SDE-ECAO,0,0,0,0,0,0
H-122-SME-CHOR-ECAO,0,0,0,0,0,0
H-122-SME-ORCH-ECAO,0,0,0,0,0,0
H-122-STE-SPECT-ECAO,0,0,0,0,0,0
H-122-STE-INIT-ECAO,0,0,0,0,0,0
H-122-SIE-CGC-ECAO,0,0,0,0,0,0
H-122-SIE-VIDEO-STPI,0,0,0,0,0,0
H-122-VEE-ECAO,0,0,0,0,0,0
H-122-STE-JOUER-ECAO,0,0,0,0,0,0
H-122-ANG-REM-ECAO,0,0,0,0,0,0
H-122-CHI-STPI-LV3,0,0,0,0,0,0
H-122-SME-MUSI-ECAO,0,0,0,0,0,0
H-2342-FLE-THEM-ECAO,0,0,0,0,0,0
PF-NI31 B1_SM1,0,0,0,0,0,0
PF-NI31 B1_SM2,0,0,0,0,0,0
PF-NI31 B1_SM3,0,0,0,0,0,0
PF-NI31 B1_SM4,0,0,0,0,0,0
PF-NI31 B1_SM5,0,0,0,0,0,0
PF-NI31 B2_SMMA1,0,0,0,0,0,0
PF-II31-MSI,0,0,0,0,0,0
PF-ISP32-NUC1,0,0,0,0,0,0
PF-E31-TP1A1,0,0,0,0,0,0
PF-NI31 B2_SMMA2,0,0,0,0,0,0
PF-NI31 B2_SMMA3,0,0,0,0,0,0
PF-NI31 B2_SMMA4,0,0,0,0,0,0
PF-NI31 B2_SMMA5,0,0,0,0,0,0
PF-NI31 B5_SMMA1,0,0,0,0,0,0
PF-NI31 B7_SMMA1,0,0,0,0,0,0
PF-NI31 EXPE,0,0,0,0,0,0
PF-II31-CAO1,0,0,0,0,0,0
PF-II31-RMAT,0,0,0,0,0,0
PF-II31-PFA,0,0,0,0,0,0
PF-II31-PCM,0,0,0,0,0,0
PF-ISP31-BESST,0,0,0,0,0,0
PF-ISP31-SARI1,0,0,0,0,0,0
PF-ISP31-HSE,0,0,0,0,0,0
PF-ISP31-SPC,0,0,0,0,0,0
PF-ISP31-MF1,0,0,0,0,0,0
PF-E31-MF1,0,0,0,0,0,0
PF-E31-THERMO1,0,0,0,0,0,0
PF-E31-MF2,0,0,0,0,0,0
PF-E31-TFT1,0,0,0,0,0,0
PF-E31-STRUCT1,0,0,0,0,0,0
PF-NI32 B1_SM6,0,0,0,0,0,0
PF-NI32 B1_SM7,0,0,0,0,0,0
PF-NI32 B1_SM9,0,0,0,0,0,0
PF-NI32 B1_SM10,0,0,0,0,0,0
PF-NI32 B2_SMMA6,0,0,0,0,0,0
PF-II31-GPROJ,0,0,0,0,0,0
PF-II31-AMC,0,0,0,0,0,0
PF-II31-MSP,0,0,0,0,0,0
PF-II31-GRI,0,0,0,0,0,0
PF-II31-MATH1,0,0,0,0,0,0
PF-II31-INFO,0,0,0,0,0,0
PF-II31-MATH2,0,0,0,0,0,0
PF-II31-ANG,0,0,0,0,0,0
H-31-GP-MECA,0,0,0,0,0,0
PF-ISP31-BIL,0,0,0,0,0,0
PF-ISP31-OU1,0,0,0,0,0,0
PF-ISP31-TT1,0,0,0,0,0,0
PF-ISP31-MATH1,0,0,0,0,0,0
PF-E31-MATCO,0,0,0,0,0,0
PF-E31-CDAO,0,0,0,0,0,0
PF-E31-MATH,0,0,0,0,0,0
PF-NI32 B2_MA2,0,0,0,0,0,0
PF-NI32 B2_MA1,0,0,0,0,0,0
PF-NI32 B2_SM1,0,0,0,0,0,0
PF-NI32 B2_SM2,0,0,0,0,0,0
